trait	trait_uri	studies	association_counts	papers	Olga's comments
clinical treatment	http://www.ebi.ac.uk/efo/EFO_0007056	687	31	687	
employment status	http://www.ebi.ac.uk/efo/EFO_0005241	687	10	687	
cortical thickness	http://www.ebi.ac.uk/efo/EFO_0004840	325	1292	325	
white matter integrity	http://www.ebi.ac.uk/efo/EFO_0004641	306	502	306	
injury	http://www.ebi.ac.uk/efo/EFO_0000546	270	0	270	
lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0004587	225	2729	225	
type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	175	5003	175	Glucose homeostasis/obesity
body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	151	8912	151	Glucose homeostasis/obesity
encounter with health service	http://www.ebi.ac.uk/efo/EFO_0009786	148	0	148	
leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	142	2784	142	
COVID-19	http://purl.obolibrary.org/obo/MONDO_0100096	123	659	123	Lung 
unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	113	1308	113	
asthma	http://purl.obolibrary.org/obo/MONDO_0004979	112	1475	112	Lung 
family history	http://www.ebi.ac.uk/efo/EFO_0000493	100	2	100	
female reproductive system disease	http://www.ebi.ac.uk/efo/EFO_0009549	92	28	92	
medical procedure	http://www.ebi.ac.uk/efo/EFO_0002571	92	0	92	
Alzheimer disease	http://purl.obolibrary.org/obo/MONDO_0004975	89	669	89	Mental 
breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	86	1719	86	
bone fracture	http://www.ebi.ac.uk/efo/EFO_0003931	85	53	85	Musculoskeletal  
disease	http://www.ebi.ac.uk/efo/EFO_0000408	83	0	83	
body height	http://www.ebi.ac.uk/efo/EFO_0004339	77	7340	77	
colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	75	697	75	
systolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006335	73	3435	73	Cardiovascular
schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	72	3678	72	
coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001645	72	2408	72	Cardiovascular
prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663	69	1283	69	
rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	69	1206	69	
diastolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006336	68	2316	68	Cardiovascular
adverse effect	http://www.ebi.ac.uk/efo/EFO_0009658	65	0	65	
obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	60	679	60	
osteoarthritis	http://purl.obolibrary.org/obo/MONDO_0005178	60	99	60	Musculoskeletal  
benign neoplasm	http://www.ebi.ac.uk/efo/EFO_0002422	60	0	60	
planned process	http://www.ebi.ac.uk/efo/EFO_0004542	58	0	58	
BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	57	7792	57	
chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	55	525	55	Lung 
hypertension	http://www.ebi.ac.uk/efo/EFO_0000537	55	352	55	
skin neoplasm	http://www.ebi.ac.uk/efo/EFO_0004198	55	51	55	
skin disease	http://www.ebi.ac.uk/efo/EFO_0000701	54	2	54	
bone density	http://www.ebi.ac.uk/efo/EFO_0003923	53	692	53	Musculoskeletal  
obsolete_systemic lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0002690	49	1086	49	
Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	49	452	49	Mental 
platelet count	http://www.ebi.ac.uk/efo/EFO_0004309	47	3668	47	
monocyte count	http://www.ebi.ac.uk/efo/EFO_0005091	47	2658	47	
chronic kidney disease	http://www.ebi.ac.uk/efo/EFO_0003884	46	172	46	
stroke	http://www.ebi.ac.uk/efo/EFO_0000712	46	150	46	Cardiovascular
mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	45	2041	45	
lean body mass	http://www.ebi.ac.uk/efo/EFO_0004995	45	523	45	Musculoskeletal  
lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	45	428	45	Lung 
ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	43	433	43	Inflammation 
eosinophil count	http://www.ebi.ac.uk/efo/EFO_0004842	42	3165	42	
mean corpuscular volume	http://www.ebi.ac.uk/efo/EFO_0004526	40	4132	40	
atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	40	709	40	
cataract	http://purl.obolibrary.org/obo/MONDO_0005129	40	190	40	
fat body mass	http://www.ebi.ac.uk/efo/EFO_0005409	40	184	40	Glucose homeostasis/obesity
melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	40	159	40	
neutrophil count	http://www.ebi.ac.uk/efo/EFO_0004833	39	2292	39	
