comments	trait	trait_uri	studies	association_counts	papers
cardiovascular	systolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006335	73	3435	73
cardiovascular	coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001645	72	2408	72
cardiovascular	diastolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006336	68	2316	68
cardiovascular	stroke	http://www.ebi.ac.uk/efo/EFO_0000712	46	150	46
cardiovascular	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	34	819	34
cardiovascular	Ischemic stroke	http://purl.obolibrary.org/obo/HP_0002140	32	267	32
cardiovascular	myocardial infarction	http://www.ebi.ac.uk/efo/EFO_0000612	30	407	30
cardiovascular	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	30	330	30
cardiovascular	cardiac arrhythmia	http://www.ebi.ac.uk/efo/EFO_0004269	27	29	27
cardiovascular	venous thromboembolism	http://www.ebi.ac.uk/efo/EFO_0004286	26	397	26
cardiovascular	carotid artery intima media thickness	http://www.ebi.ac.uk/efo/EFO_0007117	24	461	24
cardiovascular	Varicose veins	http://purl.obolibrary.org/obo/HP_0002619	24	128	24
cardiovascular	heart disease	http://www.ebi.ac.uk/efo/EFO_0003777	21	0	21
cardiovascular	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	19	146	19
cardiovascular	large artery stroke	http://www.ebi.ac.uk/efo/EFO_0005524	19	100	19
cardiovascular	deep vein thrombosis	http://www.ebi.ac.uk/efo/EFO_0003907	17	0	17
cardiovascular	coronary artery calcification	http://www.ebi.ac.uk/efo/EFO_0004723	16	313	16
cardiovascular	blood pressure	http://www.ebi.ac.uk/efo/EFO_0004325	16	132	16
cardiovascular	Hypercholesterolemia	http://purl.obolibrary.org/obo/HP_0003124	12	5	12
cardiovascular	hypertrophic cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000538	9	96	9
cardiovascular	atherosclerosis	http://www.ebi.ac.uk/efo/EFO_0003914	9	11	9
cardiovascular	familial hyperlipidemia	http://purl.obolibrary.org/obo/MONDO_0001336	5	229	5
cardiovascular	Hypertriglyceridemia	http://www.ebi.ac.uk/efo/EFO_0004211	5	36	5
cardiovascular	Brugada syndrome	http://purl.obolibrary.org/obo/MONDO_0015263	3	27	3
cardiovascular	hyperlipidemia	http://purl.obolibrary.org/obo/MONDO_0021187	3	5	3
